date_played,num_players,num_teams,num_hands,high_score,points_to_play_to,game_id
2017-07-26 21:21:27.388000,3,0,7,11,11,597907d751ee58001044b6cc
2017-07-28 19:25:26.411000,0,0,1,0,11,597b8fa6098a8a0010e1713d
2017-07-28 19:26:23.296000,0,0,3,0,11,597b8fdf098a8a0010e17145
2017-07-28 15:24:09.094000,4,2,10,21,21,597b5719f0f7570010470a55
2017-07-30 03:07:30.936000,0,2,0,0,11,597d4d726ca8bf001016a432
2017-07-30 03:07:52.053000,4,2,6,14,11,597d4d886ca8bf001016a435
2017-07-30 03:33:17.025000,0,0,3,0,11,597d537d6ca8bf001016a454
2017-07-30 03:38:24.306000,0,2,0,0,11,597d54b06ca8bf001016a45e
2017-07-30 03:38:49.596000,4,2,5,13,11,597d54c96ca8bf001016a463
2017-07-30 03:47:11.639000,4,2,9,21,21,597d56bf6ca8bf001016a47d
2017-07-31 02:47:55.076000,0,2,1,0,21,597e9a5b373e440010ac967a
2017-07-31 23:47:50.887000,3,0,6,11,11,597fc1a647a8f0001062b128
2017-07-31 23:53:48.725000,3,0,6,12,11,597fc30c47a8f0001062b141
2017-08-01 00:00:29.605000,0,0,6,0,11,597fc49d47a8f0001062b15c
2017-08-04 18:45:53.280000,0,2,3,0,21,5984c0e116973a00101ce421
2017-08-04 18:53:01.776000,4,2,10,22,21,5984c28d16973a00101ce432
2017-08-04 19:00:01.816000,4,2,12,24,21,5984c43116973a00101ce465
2017-08-04 19:08:19.408000,0,2,5,0,21,5984c62316973a00101ce4a3
2017-08-10 20:12:28.720000,0,3,5,0,21,598cbe2c3bc1a6000fed8930
2017-08-11 03:42:10.613000,0,2,1,0,21,598d2792ec54e5001017cc99
2017-08-11 18:22:13.901000,0,0,0,0,21,598df5d5578c920011faf88a
2017-08-14 23:41:03.181000,2,0,9,16,15,5992350f61c3510010bc4aa4
2017-08-14 23:49:39.794000,0,0,9,0,21,5992371361c3510010bc4ac0
2017-08-14 23:55:21.014000,0,0,11,0,21,5992386961c3510010bc4adc
2017-08-15 00:05:34.609000,2,0,12,22,21,59923ace61c3510010bc4afe
2017-08-17 01:37:44.171000,0,2,1,0,11,5994f36862f04800102cdad4
2017-08-17 02:16:53.634000,4,2,4,12,11,5994fc958a70ff0010e34177
2017-08-17 02:43:10.223000,0,0,0,0,11,599502be8a70ff0010e3418c
2017-08-17 02:43:18.705000,0,2,0,0,11,599502c68a70ff0010e3418d
2017-08-17 02:43:32.734000,4,2,4,11,11,599502d48a70ff0010e3418e
2017-08-17 02:50:41.552000,0,4,0,0,11,599504818a70ff0010e341a3
2017-08-17 02:50:50.419000,0,0,2,0,11,5995048a8a70ff0010e341a4
2017-08-17 02:52:39.764000,0,0,0,0,11,599504f78a70ff0010e341ab
2017-08-17 02:52:58.167000,0,2,1,0,11,5995050a8a70ff0010e341ac
2017-08-17 02:54:19.746000,4,2,8,16,15,5995055b8a70ff0010e341b1
2017-08-21 19:09:07.353000,0,2,5,0,15,599b2fd30965c90011e33879
2017-08-21 19:28:16.351000,4,2,7,16,15,599b34500965c90011e33898
2017-08-21 19:41:14.530000,4,2,7,15,15,599b375a0965c90011e338bc
2017-08-21 19:52:20.397000,0,2,0,0,15,599b39f40965c90011e338e0
2017-08-21 19:52:39.534000,0,4,0,0,15,599b3a070965c90011e338e1
2017-08-23 00:14:55.030000,4,2,8,15,15,599cc8ffbe234f0011108c34
2017-08-23 00:28:24.542000,0,2,0,0,15,599ccc28be234f0011108c5d
2017-08-23 01:33:56.215000,4,2,5,17,15,599cdb844447ab001018e1cd
2017-08-23 03:20:26.277000,0,2,1,0,15,599cf47a68750800107b5f7e
2017-08-27 05:06:46.967000,0,0,11,0,15,59a25366b2d7560010e2f850
2017-08-29 02:11:06.612000,0,0,0,0,21,59a4cd3a4d0dc400102eaaf6
2017-08-29 02:11:39.422000,0,0,0,0,21,59a4cd5b4d0dc400102eaafc
2017-08-29 02:20:19.588000,4,2,11,21,21,59a4cf634d0dc400102eab02
2017-08-29 02:29:48.074000,4,2,11,21,21,59a4d19c4d0dc400102eab3a
2017-08-29 02:38:29.307000,4,2,18,23,21,59a4d3a54d0dc400102eab72
2017-08-29 02:48:06.490000,4,2,13,22,21,59a4d5e64d0dc400102eabcd
2017-08-29 02:54:52.536000,0,2,0,0,21,59a4d77c4d0dc400102eac0f
2017-08-29 02:58:52.310000,4,2,7,21,21,59a4d86c4d0dc400102eac15
2017-08-29 03:03:30.237000,0,2,3,0,21,59a4d9824d0dc400102eac39
2017-08-29 03:05:23.813000,4,2,10,21,21,59a4d9f34d0dc400102eac4e
2017-08-29 03:15:47.784000,4,2,8,21,21,59a4dc634d0dc400102eac81
2017-08-29 03:27:18.391000,0,2,0,0,21,59a4df164d0dc400102eacaa
2017-08-29 16:43:35.358000,0,2,0,0,15,59a599b7b7388f0011acb9f9
2017-08-30 02:56:19.741000,4,2,9,22,21,59a62953ce94520010b5e788
2017-08-30 03:03:18.225000,0,2,0,0,21,59a62af6ce94520010b5e7b6
2017-08-30 03:03:39.394000,0,2,5,0,21,59a62b0bce94520010b5e7bb
2017-09-02 18:41:35.250000,0,2,0,0,15,59aafb5f68fbd4001043a46a
2017-09-07 15:10:10.048000,4,2,6,12,11,59b161520fe19300111ae620
2017-09-08 16:09:46.827000,0,0,1,0,15,59b2c0ca4ff56d00107d9928
2017-09-08 23:55:40.161000,0,0,1,0,15,59b32dfceb716b000fdb35b3
2017-09-17 17:36:07.231000,0,0,8,0,21,59beb2878b303c0011c53c26
2017-09-18 09:45:32.522000,6,2,9,23,21,59bf95bc79f8fe001078a2a4
2017-09-18 09:52:04.255000,0,0,12,0,21,59bf974479f8fe001078a2e4
2017-09-18 10:13:34.761000,0,3,8,0,21,59bf9c4e79f8fe001078a316
2017-09-20 02:09:03.517000,6,3,8,14,11,59c1cdbfb27a030010d64b6f
2017-09-20 22:03:53.195000,0,0,2,0,11,59c2e5c9c09149001176a12f
2017-09-22 04:05:46.938000,3,0,5,12,11,59c48c1a41cf7c0010453ba4
2017-09-22 04:10:36.595000,3,0,13,23,21,59c48d3c41cf7c0010453bb9
2017-09-22 04:19:47.311000,3,0,22,23,21,59c48f6341cf7c0010453bee
2017-09-22 04:32:57.223000,3,0,16,21,21,59c4927941cf7c0010453c47
2017-09-23 03:27:13.935000,0,2,1,0,21,59c5d4915878000010ad6ba6
2017-09-23 05:23:51.516000,4,2,8,17,15,59c5efe7d6cf1c00118c07e6
2017-09-23 05:37:32.850000,8,4,22,22,21,59c5f31cd6cf1c00118c080f
2017-09-23 06:02:39.353000,8,2,10,21,21,59c5f8ffd6cf1c00118c08d6
2017-09-23 06:13:50.106000,0,2,7,0,21,59c5fb9ed6cf1c00118c0931
2017-09-27 04:20:48.842000,0,0,9,0,15,59cb2720e1104200100c424a
2017-09-28 15:24:44.182000,0,2,0,0,11,59cd143cd9cd6d0010fb629e
2017-09-28 15:45:35.926000,0,2,0,0,11,59cd191fd9cd6d0010fb62a6
2017-09-29 17:03:23.536000,4,2,5,13,11,59ce7cdb673bc300100074da
2017-09-29 17:56:15.062000,2,0,4,14,11,59ce893f2fa6a8000f669e1a
2017-09-29 17:58:00.244000,0,2,4,0,11,59ce89a82fa6a8000f669e25
2017-09-29 18:02:42.002000,4,2,5,12,11,59ce8ac22fa6a8000f669e46
